"","triToken","Ranking"
"1285","i hope so",1154
"1286","i hope it",1154
"1287","i hope i",1154
"1288","i have my",1154
"1289","i have an",1154
"1290","i hate you",1154
"1291","i had no",1154
"1292","i guess you",1154
"1293","i got to",1154
"1294","i got my",1154
"1295","i go to",1154
"1296","i get my",1154
"1297","i forgot to",1154
"1298","i follow back",1154
"1299","i fall asleep",1154
"1300","i dont understand",1154
"1301","i dont remember",1154
"1302","i didnt see",1154
"1303","i didnt get",1154
"1304","i did not",1154
"1305","i could take",1154
"1306","i cant sleep",1154
"1307","i can help",1154
"1308","i can dig",1154
"1309","i am really",1154
"1310","i am on",1154
"1311","i am a",1154
"1312","how you can",1154
"1313","how was your",1154
"1314","how was the",1154
"1315","how to use",1154
"1316","how could i",1154
"1317","hope you are",1154
"1318","hope you all",1154
"1319","hope everyone is",1154
"1320","home from work",1154
"1321","hey i just",1154
"1322","here in the",1154
"1323","heading to the",1154
"1324","having a great",1154
"1325","have the best",1154
"1326","have an amazing",1154
"1327","have a wonderful",1154
"1328","have a new",1154
"1329","have a happy",1154
"1330","have a few",1154
"1331","hate when my",1154
"1332","has been a",1154
"1333","happy with the",1154
"1334","happy easter everyone",1154
"1335","guys need to",1154
"1336","great weekend i",1154
"1337","great to have",1154
"1338","great things about",1154
"1339","great night for",1154
"1340","great meeting you",1154
"1341","great day to",1154
"1342","great day i",1154
"1343","got out of",1154
"1344","got home and",1154
"1345","good to know",1154
"1346","good to hear",1154
"1347","good to be",1154
"1348","gonna have a",1154
"1349","going to bed",1154
"1350","going on a",1154
"1351","go to school",1154
"1352","glad you liked",1154
"1353","glad you enjoyed",1154
"1354","glad to hear",1154
"1355","glad to have",1154
"1356","get to that",1154
"1357","get to see",1154
"1358","get ready for",1154
"1359","get it right",1154
"1360","get it done",1154
"1361","get at me",1154
"1362","get a follow",1154
"1363","game of the",1154
